mouseMoves,scrollEvents,keyboardEvents,clicks,timeOnPage,idleTime,typingVariance,avgMouseSpeed,directionChanges,straightness,avgKeyInterval,burstRatio,scrollVelocity,label
694,51,43,3,108,13,1016,2.5563042055837486,131,0.3345984398611387,329,0.4100168454374217,0.18714811659157937,bot
624,104,27,5,292,7,1577,2.0013798216584875,179,0.11983286389207684,299,0.5565571386730115,0.44100152314710545,human
526,122,45,8,196,20,772,0.7349238805729599,181,0.11747346484196027,289,0.5816927612630791,0.20172328110551213,human
677,70,23,6,322,15,1102,1.4879958189066116,140,0.29046654444203934,343,0.3977572029315426,0.39207264986167945,human
878,115,29,11,167,1,1266,1.7028871326428212,64,0.24400750046139152,422,0.3774372924217855,0.2515397609035821,bot
798,76,56,18,234,9,904,2.10404591071125,130,0.23914367120983931,308,0.5418206345611684,0.14283723918977898,human
735,33,59,4,109,15,1458,1.029624266866782,83,0.46874302691030034,405,0.324392671017137,0.3431383212467418,bot
719,107,31,4,156,6,811,1.3288035337651587,137,0.4216188418005799,326,0.3496757725866848,0.2299465325350917,human
448,50,31,14,94,3,426,2.7679366565718277,179,0.2883662746255643,364,0.3582068592266996,0.2823196305515502,bot
400,56,29,4,312,8,401,2.3942304206879506,64,0.3030802111895897,158,0.5966492556810802,0.1363135382606958,bot
335,100,44,10,89,12,1160,1.5486460911210123,144,0.46641654099277613,294,0.6589095928648285,0.2527467120785015,bot
524,118,15,9,184,17,1156,2.4645515946311534,50,0.45004876879665073,362,0.3145809223745399,0.12422244568300252,bot
774,30,36,7,198,20,1450,2.020141077929906,40,0.48101846917752483,554,0.6433689942609891,0.3310535891863338,human
860,105,45,4,255,22,1658,1.4389156503938465,169,0.05166333724172213,363,0.32105633284557356,0.34644837661764816,human
613,126,57,8,217,7,1867,1.1657924975990126,179,0.0943385787213834,563,0.5911177534942111,0.3672610367185903,human
720,111,37,7,206,7,1367,1.8818751685048882,190,0.15430725673064583,420,0.4613603076861929,0.40921874022022925,human
795,120,53,7,137,14,1475,1.338330932251939,84,0.12756177436777194,294,0.3205076347262191,0.5098832173476937,human
542,73,36,12,181,6,904,1.8881316761359712,50,0.39042836819709026,169,0.19343654394760618,0.24396301342411764,bot
924,85,50,5,206,8,1544,1.1768366565465662,145,0.23461360850580149,528,0.5355259101184648,0.18705523746637917,human
490,60,50,12,277,14,1724,1.4077196617578065,117,0.2891280227812694,360,0.684220068545802,0.3855253739847122,human
853,37,38,13,302,11,1189,1.7322122100406132,94,0.34032256881805767,186,0.5152609601765978,0.12968666908942983,bot
369,74,18,3,211,6,665,2.650082100465356,57,0.4492175208576251,407,0.6144267001507273,0.21184847124454873,bot
322,106,15,15,299,2,910,2.0949225395287994,107,0.4348149689450507,437,0.15755426198571415,0.2154762936250542,bot
659,100,21,11,322,26,906,2.4261956579509736,212,0.22601640381789706,352,0.7084090667834699,0.1633506755912293,human
409,73,33,16,67,4,562,2.0476505049961826,91,0.4863895308919192,537,0.21835540605041834,0.13963246284603892,bot
854,47,60,13,138,17,727,1.6386522364470508,177,0.11811872910055662,526,0.40378559054763596,0.2594749291781804,human
318,49,58,6,108,2,1019,2.712053033894528,75,0.3929112109424261,278,0.2694310127557191,0.23782878167831428,bot
777,35,47,10,105,0,1223,2.8259957289814883,140,0.2876424279909517,230,0.3037424064156621,0.11703249016406164,bot
413,74,57,8,122,22,804,2.2166234074473907,170,0.47603289622898903,206,0.6163307062758141,0.34739413377310124,bot
588,70,47,10,122,12,1427,2.1406993424933956,129,0.49329414259146553,420,0.5635666993639826,0.18189335754627925,bot
516,113,57,3,111,5,1328,1.617458762115852,143,0.5496542863284137,490,0.5854657658932155,0.3502834500742207,bot
845,73,42,10,140,16,796,0.9461994617597513,102,0.2180961923597507,340,0.45971547193780105,0.21893197910073026,bot
510,62,11,17,149,17,264,2.628611745784557,171,0.24303508557195333,576,0.5951789830091492,0.2842111040596992,bot
622,104,49,8,313,22,1528,1.4826067654588795,173,0.3163676266328317,536,0.31796948516952417,0.4824390768495953,bot
705,65,54,17,70,2,710,1.0630335006068738,198,0.5143328288135791,445,0.33736767851635285,0.12864802626407745,bot
526,83,46,9,179,25,1434,2.3928503809123374,147,0.1646915022115303,288,0.3736272918622243,0.4236288320482128,human
517,85,24,17,324,25,994,2.2971468832690647,224,0.11622541234307919,547,0.587344677330861,0.16074471000739854,human
502,58,49,8,117,15,1749,1.5858878081230094,198,0.07854852234014165,364,0.6710137708100259,0.5156620093458804,bot
514,106,40,15,277,10,567,2.159586921395811,96,0.4748550456248117,515,0.24727496704026958,0.23236892313343774,human
879,49,41,14,355,15,899,1.7130374281445604,105,0.14650870916493602,634,0.6185063673192797,0.44110230922982363,human
839,98,37,11,200,5,868,2.064040950832444,176,0.43052725989978,164,0.13795476664029077,0.12147177210646382,bot
690,92,64,10,126,11,1884,2.116894093994582,199,0.21093726139716068,457,0.6539625618741779,0.14708809835297892,bot
929,119,58,6,109,19,1067,1.6184642493937078,105,0.2678111080911666,409,0.6606927573235839,0.35705015475248875,bot
744,114,31,12,274,4,439,1.0891286717748099,197,0.20143924067026148,264,0.2996059668874216,0.18115596221169042,bot
587,34,27,8,94,5,791,1.3407758974038326,127,0.5194717867741527,108,0.448438317335324,0.4280830906185449,bot
730,128,60,8,188,5,876,1.9307648779866087,145,0.0975436947326846,442,0.48095516619734024,0.47052066525354724,human
410,102,20,10,124,10,1384,2.515622319101459,49,0.3693359882484658,254,0.31908577684074735,0.19724065425270415,bot
725,48,50,10,355,8,1878,0.988430364575565,147,0.2932524741236963,617,0.4843546841204287,0.21440058983661342,human
671,98,21,9,89,10,1356,2.526539671201908,91,0.5347785958643683,140,0.5991211688942969,0.4526575020723739,bot
520,82,39,17,296,27,1527,1.7367228748161956,139,0.06390921017780114,613,0.5002349955307899,0.3481405985450047,bot
538,119,34,10,239,17,863,1.287536849089465,182,0.4065233082399734,142,0.3577141084384382,0.3800863289039096,bot
434,95,18,9,95,11,606,2.173059314493999,178,0.3638276005494875,394,0.6221794368834521,0.21305872267809384,bot
479,66,11,4,93,1,1156,2.793272194034368,155,0.22511464289463556,129,0.5274071544531308,0.38542582640752276,bot
761,101,24,17,306,7,1699,0.8880384337281154,192,0.30841708663766537,542,0.304926318224116,0.5031481553771522,human
529,54,44,12,197,12,982,2.563620663903131,146,0.36405507490760686,235,0.32477050676433167,0.16272517178931634,bot
802,48,37,12,182,18,702,1.0076006761458296,138,0.2592591915546655,405,0.3419376454212492,0.24638649901960819,bot
809,61,61,12,150,5,1610,1.0053287203171368,154,0.1625152859067202,287,0.4911776391491717,0.25043021989739955,human
836,67,12,5,125,6,341,2.1952329855643784,165,0.2594933773177106,404,0.5728238100549474,0.16939658290543927,bot
912,130,38,17,342,19,899,0.9604699703496373,120,0.22070430073432246,616,0.47555410560975264,0.28560397557906314,human
810,124,26,19,229,5,1623,2.4384351436481406,210,0.12588343254506007,429,0.6130310935593262,0.39041599958086587,human
875,56,10,15,99,2,1237,1.1257502324795754,97,0.2678640665140293,445,0.19247319052758555,0.14462000083037008,bot
799,64,12,5,203,12,855,1.5104692958567452,120,0.5855991054694498,569,0.5834288263289318,0.10980075396252179,bot
624,55,29,18,121,16,1460,0.9764683267261101,178,0.13427543034244988,440,0.6151279944311838,0.4938603394221352,human
744,72,57,14,197,14,1162,2.714357270373113,167,0.539841978224586,332,0.34215678359552354,0.4790344745715315,bot
806,86,52,5,136,21,1819,1.4490681121971294,214,0.10466921231817261,493,0.46948793330873806,0.3753048666679677,human
717,119,60,4,102,11,665,1.9712520320383382,139,0.3000762070881846,387,0.31888772680957767,0.33314396878885044,human
822,45,36,8,183,21,1315,2.1426118973604447,160,0.30228811673410216,602,0.3799573202126178,0.3651022709766485,human
683,50,58,10,94,20,1338,0.9233587733297794,157,0.2688178781162188,375,0.3053009443289889,0.5489434050119573,human
935,74,53,5,345,22,1157,1.5049851782739103,112,0.15447367607911372,446,0.45003810065070743,0.14729590490525835,bot
870,53,20,17,261,26,1207,0.9442373194485699,216,0.1723468094991949,393,0.5168196009363888,0.4259638611100781,human
903,56,52,4,110,22,877,1.2284131183522264,106,0.11573610189802525,522,0.6417840669226249,0.22445515551727402,human
327,88,27,17,68,10,239,2.2623851112190483,133,0.31421346466819955,549,0.4091492234691556,0.49166014930050983,bot
511,87,32,5,204,21,1339,2.332984978144075,199,0.2918505474136642,359,0.6887415664340604,0.24586321338211342,human
454,105,37,6,303,24,641,2.5852030164751065,145,0.20183521177188843,258,0.21961641494673775,0.1708965954204057,bot
792,63,24,18,299,12,1776,0.7662725810580525,197,0.07877105972629736,632,0.6130383390504337,0.5245336601989022,human
676,119,26,9,257,13,657,2.569933421718647,178,0.16779812700929747,258,0.4328768867173274,0.22105613430286808,human
767,34,21,13,275,17,1060,1.1705141830246322,95,0.31227664800957855,378,0.19453052670990723,0.35315929343776287,bot
664,72,47,10,302,4,1473,2.4328294258870184,78,0.25333880206814785,309,0.5559634894074164,0.20506382520881183,bot
893,81,44,16,112,20,1185,1.3672255843487997,126,0.5626618328124706,345,0.5183929648612556,0.3082340479551666,bot
516,87,26,17,220,9,833,2.426457172705596,127,0.2962571434026162,597,0.34368487071314585,0.5100951798127651,human
822,34,44,3,211,8,281,2.9067390500327983,173,0.5284204091753895,142,0.35359505121336776,0.4368713642202824,bot
716,85,46,7,286,15,1473,1.8021687858719637,173,0.13811137635163656,610,0.4271232296877835,0.28475066055612397,human
866,85,25,13,185,15,1659,1.6159802477414609,153,0.1550463915970362,331,0.593624721274127,0.40927776708058866,human
730,112,34,9,225,3,1137,1.9067746948754023,163,0.4778910824081528,136,0.14652784234549993,0.31540467197117694,bot
448,80,20,3,217,12,1336,1.2306558643302397,75,0.26099608643151584,540,0.1480248085247967,0.49622455309799773,human
881,118,48,9,316,14,992,2.7240253117668827,147,0.2291455282145723,376,0.10731287910377092,0.3644505620678774,bot
452,74,38,7,182,17,951,2.9765575325712126,59,0.3252644823255161,258,0.2973768421491302,0.14881142424118676,bot
656,123,54,15,302,6,1564,1.3174760781584638,206,0.13209222280166805,399,0.6103104916405698,0.31393057800062385,human
595,58,46,6,98,19,1279,1.5591286156218378,130,0.09249136949483988,264,0.46851010010874905,0.49275056621549207,human
489,49,27,4,207,10,1832,1.4197609745581399,183,0.08442193882963525,423,0.5260297563581385,0.3613428612162631,human
852,87,50,6,353,15,657,2.1038610313881088,222,0.21036873315119237,612,0.6294920450787074,0.1760659702153537,human
930,54,51,9,93,18,852,0.8783428534803638,133,0.19436002382107825,561,0.7035956828139843,0.5136897062561232,human
411,98,43,12,210,3,640,1.6837906373375984,81,0.4297423371440392,426,0.47897120405472715,0.14909158240743403,bot
559,81,10,8,168,15,914,2.5019729868486165,152,0.5363125395393751,152,0.23287807916815856,0.27120137532032806,bot
672,84,46,12,308,7,469,2.2752143979247723,106,0.35175758642541083,594,0.15209062768475085,0.4195060820873554,bot
641,50,43,11,99,22,997,2.0722392539220085,64,0.20761460867592466,569,0.657688055467679,0.3302759460033975,bot
584,54,27,19,342,11,1317,2.0686334014153864,193,0.07837633855768235,538,0.38607481696682866,0.352018351651337,human
712,74,30,8,142,23,1375,1.0569014198217708,97,0.2840720364550086,313,0.5636391548040836,0.39616138374365506,bot
785,35,28,13,169,14,1196,2.030452047153099,52,0.2334717102492248,294,0.37958010437111833,0.10820094627122026,human
902,101,45,8,153,20,1133,2.1080630157026174,225,0.23630543707512613,626,0.6225358723095349,0.26287611086580187,human
903,73,62,9,158,24,1353,2.2142765440420726,220,0.09079458285345418,269,0.3967821621592736,0.4090534760676108,human
571,94,34,19,90,16,656,1.5510106109867134,168,0.12601015496593265,337,0.6050006304691078,0.5096194104250111,human
