metrics.mouseMoves,metrics.scrollEvents,metrics.keyboardEvents,metrics.clicks,metrics.timeOnPage,metrics.idleTime,metrics.typingSpeedVariance,metrics.avgMouseSpeed,metrics.maxMouseSpeed,metrics.mouseJitter,metrics.directionChanges,metrics.straightness,metrics.avgKeyInterval,metrics.burstTypingRatio,metrics.pauseVariance,metrics.scrollVelocity,metrics.scrollAcceleration,metrics.scrollJitter,label
787,92,26,10,101,5,40214,1.9018475183613612,6.924451286410333,0.7307636344151915,79,0.08416277233769352,402,0.272761794192616,425,0.1413466258046818,0.0011282325671836265,0.6304702305982165,human
717,97,19,7,219,4,17192,2.46500749060762,12.988522192894516,0.9570657163959844,127,0.1243214453970769,483,0.31411140298876145,214,0.16095281001756162,-0.0007072239935568816,0.11523872994167206,human
39,2,7,3,33,0,444,3.9181058300526743,22.649728535251068,0.023867942100026268,25,0.6453954326802313,33,0.02535848480733592,27,0.054468333574023725,0.0,0.03414714395258957,bot
283,24,15,6,51,6,4054,2.129697297015503,26.997471958353344,0.14223023618221411,34,0.4249661891413251,102,0.11330721986865921,87,0.2248630448510954,0.0,0.05,bot
639,86,10,7,182,7,3710,0.8416421121860989,16.462823220264816,0.8932941567021835,67,0.03290730008823452,297,0.4920762180833037,430,0.1525281510078402,-0.0030958830979863107,0.8179174741989768,human
95,7,7,2,68,0,551,4.195849278543781,26.662504366962146,0.0068219230025315936,13,0.6440378347067406,50,0.07243937732768564,18,0.03936537453785172,0.0,0.024092644103572154,bot
996,48,35,5,108,6,9546,1.2178904636482542,10.663734101573684,0.24900601133127181,143,0.08430491700129296,204,0.2220959531858535,432,0.17299693214403664,0.005724957734399247,0.4411791173899452,human
448,106,19,6,88,0,1743,2.0,15.0,0.1,59,0.3457696044189293,33,0.13135275974645194,77,0.3,0.0,0.1,bot
568,54,18,5,85,0,455,2.0,15.0,0.1,52,0.3208087437772064,192,0.11445237088786665,76,0.3,0.0,0.1,bot
706,69,38,9,22,15,8686,1.3373722192312827,13.083002120384316,0.8731300758227714,129,0.10394014783369875,311,0.36636062577435835,239,0.05529802652068852,0.0005787027739086989,0.6287501731106665,human
207,65,46,11,62,8,6856,2.0874402871716478,10.190468097882261,0.34907450165770987,92,0.07123936986505658,459,0.5070261371145507,259,0.24768878213581952,-0.004092597213930529,0.42451273135576617,human
109,1,8,1,52,0,281,4.031280246853334,23.313835140226224,0.008770043644590933,7,0.6270009545511346,25,0.04521928085077641,3,0.03574363919089416,0.0,0.05364532155619935,bot
427,34,17,2,110,2,1551,1.6772509718409432,16.48080347159672,0.19601607673667756,27,0.47174689885267,239,0.09592532442978281,167,0.2583528359762564,0.0,0.34347551814267685,bot
