timestamp,received_at,user_id,label,env.screenWidth,env.screenHeight,env.timezone,env.connection,env.platform,env.language,env.memory,env.browser,env.touchSupport,env.webdriver,env.battery,env.hardwareConcurrency,env.timezoneMismatch,env.canvasFingerprint,env.fontsHash,env.webglVendor,env.browserFamily,env.osFamily,env.deviceType,metrics.mouseMoves,metrics.scrollEvents,metrics.keyboardEvents,metrics.clicks,metrics.timeOnPage,metrics.idleTime,metrics.focusChanges,metrics.typingSpeedVariance,metrics.avgMouseSpeed,metrics.maxMouseSpeed,metrics.mouseJitter,metrics.directionChanges,metrics.straightness,metrics.pathVariance,metrics.avgKeyInterval,metrics.burstTypingRatio,metrics.pauseVariance,metrics.scrollVelocity,metrics.scrollAcceleration,metrics.scrollJitter,env.gpu
2026-01-07T16:32:51Z,2026-01-07 16:32:51.290,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,4 GB,Chrome/143.0.0.0,No,Yes,unavailable,12,No,slow_fp_static_1,Arial,Intel Inc.,Chrome,Windows,Desktop,210,22,20,5,137.58,15.12,3,0.374,398.683,761.73,0.475,20,0.582,5274.05,440.41,0.527,0.911,382.02,85.58,0.68,
2026-01-07T16:34:14Z,2026-01-07 16:34:15.003,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,8 GB,Chrome/141.0.0.0,No,Yes,unavailable,12,No,slow_fp_static_1,Arial,Intel Inc.,Chrome,Windows,Desktop,197,15,20,4,91.91,10.92,2,0.492,354.226,448.9,0.445,30,0.433,7399.77,385.4,0.583,0.522,376.7,40.19,1.45,
2026-01-07T16:35:46Z,2026-01-07 16:35:46.093,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,8 GB,Chrome/142.0.0.0,No,Yes,unavailable,16,No,slow_fp_static_7,"Arial,Verdana",Intel Inc.,Chrome,Windows,Desktop,223,24,25,6,128.39,18.78,3,0.337,200.772,546.65,0.623,36,0.409,3544.42,428.41,0.465,1.95,261.16,94.29,0.51,
2026-01-07T16:37:11Z,2026-01-07 16:37:11.536,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,4 GB,Chrome/141.0.0.0,No,Yes,85%,8,No,slow_fp_static_1,Courier New,Intel Inc.,Chrome,Windows,Desktop,194,21,23,3,163.84,16.96,5,0.48,386.523,488.85,0.926,22,0.575,9686.74,434.31,0.456,1.65,178.94,85.81,1.84,
2026-01-07T16:38:33Z,2026-01-07 16:38:33.061,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,4 GB,Chrome/142.0.0.0,No,Yes,100%,16,No,slow_fp_static_2,Arial,Intel Inc.,Chrome,Windows,Desktop,220,13,17,5,141.0,15.34,2,0.496,377.506,450.14,0.659,56,0.325,9093.0,407.99,0.342,1.01,362.78,85.65,1.2,
2026-01-07T16:40:11Z,2026-01-07 16:40:11.528,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,8 GB,Chrome/141.0.0.0,No,Yes,unavailable,12,No,slow_fp_static_10,Verdana,Intel Inc.,Chrome,Windows,Desktop,215,24,23,4,112.66,16.16,4,0.494,387.056,516.14,0.653,35,0.526,5738.73,412.63,0.484,1.127,393.09,143.03,1.04,
2026-01-07T16:41:35Z,2026-01-07 16:41:35.508,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,12 GB,Chrome/142.0.0.0,No,Yes,85%,12,No,slow_fp_static_8,Arial,Intel Inc.,Chrome,Windows,Desktop,163,25,23,3,69.86,17.19,6,0.457,253.391,356.76,0.609,52,0.528,3469.74,414.49,0.405,1.138,190.86,92.37,1.44,
2026-01-07T16:42:57Z,2026-01-07 16:42:57.711,smooth_bot,bot,1366,768,Asia/Calcutta,4g,Win32,en-US,4 GB,Chrome/143.0.0.0,No,Yes,85%,12,No,slow_fp_static_8,Courier New,Intel Inc.,Chrome,Windows,Desktop,222,11,23,5,162.84,15.36,4,0.601,215.822,639.24,0.983,27,0.681,8963.57,413.03,0.4,1.432,582.99,125.88,1.74,
2026-01-07T16:44:27Z,2026-01-07 16:44:27.728,smooth_bot,bot,1920,1080,Asia/Calcutta,4g,Win32,en-US,4 GB,Chrome/142.0.0.0,No,Yes,100%,12,No,slow_fp_static_10,Arial,Intel Inc.,Chrome,Windows,Desktop,210,21,21,5,119.91,16.22,6,0.783,323.02,655.73,0.907,46,0.335,8950.33,406.35,0.375,1.19,334.72,80.01,1.63,
2026-01-07T16:45:54Z,2026-01-07 16:45:54.340,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,12 GB,Chrome/141.0.0.0,No,Yes,60%,12,No,slow_fp_static_7,"Arial,Verdana",Intel Inc.,Chrome,Windows,Desktop,179,23,25,3,165.29,18.14,2,0.347,171.315,784.93,0.689,39,0.546,7624.26,443.48,0.492,0.525,211.06,70.16,1.96,
2026-01-07T16:47:22Z,2026-01-07 16:47:22.061,smooth_bot,bot,1920,1080,Asia/Calcutta,4g,Win32,en-US,8 GB,Chrome/141.0.0.0,No,Yes,60%,16,No,slow_fp_static_1,Verdana,Intel Inc.,Chrome,Windows,Desktop,200,21,17,5,122.1,17.5,2,0.313,343.416,475.46,0.325,46,0.513,8144.91,385.01,0.287,0.647,473.98,122.81,0.71,
2026-01-07T16:48:57Z,2026-01-07 16:48:57.978,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,12 GB,Chrome/141.0.0.0,No,Yes,unavailable,8,No,slow_fp_static_6,Arial,Intel Inc.,Chrome,Windows,Desktop,212,25,22,4,124.35,13.8,6,0.648,360.241,627.05,0.36,41,0.465,7511.66,434.32,0.312,1.821,495.4,69.74,1.16,
2026-01-07T16:50:17Z,2026-01-07 16:50:17.315,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,4 GB,Chrome/141.0.0.0,No,Yes,85%,12,No,slow_fp_static_9,Arial,Intel Inc.,Chrome,Windows,Desktop,192,22,21,4,151.97,13.59,2,0.752,284.78,355.77,0.565,29,0.436,4269.69,393.97,0.428,0.717,101.42,71.16,0.89,
2026-01-07T16:51:53Z,2026-01-07 16:51:53.573,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,4 GB,Chrome/142.0.0.0,No,Yes,100%,8,No,slow_fp_static_12,Courier New,Intel Inc.,Chrome,Windows,Desktop,285,10,24,8,146.92,12.96,2,0.669,384.355,418.12,0.317,42,0.699,8536.62,425.05,0.537,0.6,370.02,131.87,1.91,
2026-01-07T16:53:25Z,2026-01-07 16:53:25.435,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,8 GB,Chrome/141.0.0.0,No,Yes,unavailable,16,No,slow_fp_static_11,Courier New,Intel Inc.,Chrome,Windows,Desktop,211,20,18,5,174.0,16.58,3,0.453,377.967,374.92,0.989,51,0.653,3810.11,422.34,0.476,1.964,353.61,84.87,1.42,
2026-01-07T16:54:50Z,2026-01-07 16:54:50.119,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,12 GB,Chrome/143.0.0.0,No,Yes,60%,12,No,slow_fp_static_3,Arial,Intel Inc.,Chrome,Windows,Desktop,238,19,20,6,83.01,13.44,2,0.627,245.021,593.01,0.494,23,0.47,9313.74,440.69,0.547,1.139,130.41,60.53,1.36,
2026-01-07T16:56:05Z,2026-01-07 16:56:05.915,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,12 GB,Chrome/141.0.0.0,No,Yes,unavailable,8,No,slow_fp_static_4,Arial,Intel Inc.,Chrome,Windows,Desktop,198,16,19,5,166.39,14.51,5,0.33,319.21,562.67,0.565,58,0.463,8383.05,466.09,0.546,0.603,423.65,96.6,1.51,
2026-01-07T16:57:45Z,2026-01-07 16:57:45.516,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,12 GB,Chrome/142.0.0.0,No,Yes,unavailable,12,No,slow_fp_static_9,Courier New,Intel Inc.,Chrome,Windows,Desktop,234,16,18,6,105.54,15.94,4,0.338,387.47,470.67,0.801,42,0.386,2005.77,407.15,0.52,1.794,345.32,133.53,1.79,
2026-01-07T16:59:12Z,2026-01-07 16:59:12.708,smooth_bot,bot,1366,768,Asia/Calcutta,4g,Win32,en-US,4 GB,Chrome/143.0.0.0,No,Yes,unavailable,8,No,slow_fp_static_3,Arial,Intel Inc.,Chrome,Windows,Desktop,205,13,25,4,79.17,17.08,3,0.756,145.068,709.13,0.633,46,0.567,3990.89,466.26,0.51,0.99,498.47,89.25,0.55,
2026-01-07T17:00:38Z,2026-01-07 17:00:38.291,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,12 GB,Chrome/141.0.0.0,No,Yes,unavailable,12,No,slow_fp_static_9,Verdana,Intel Inc.,Chrome,Windows,Desktop,248,10,24,6,179.41,18.06,4,0.345,383.461,607.97,0.625,52,0.349,8532.58,423.74,0.328,0.994,272.54,102.12,1.86,
2026-01-07T17:01:51Z,2026-01-07 17:01:51.247,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,12 GB,Chrome/141.0.0.0,No,Yes,100%,12,No,slow_fp_static_10,Courier New,Intel Inc.,Chrome,Windows,Desktop,170,13,22,4,68.07,12.71,3,0.32,336.384,682.13,0.574,39,0.325,9639.66,435.99,0.547,1.249,426.17,26.58,1.84,
